"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES"
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2006","       148","E","        89","E","         1","E",,,,,"         0","E","         1","E","         0","E","       111","E","         0","E","-1.5","E,0129, ",,,,,"37.6"," ,E,1002, ","29.6","E,0718, ",,,,,,,,,,,"-1.5","E,0129",,,,,,,,,"831.8"," ,E",,,"14.0","E","17.6","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2007","       151","E","        78","E","         5","E",,,,,"         0","E","         3","E","         0","E","        48","E","         0","E","-0.4","E,1214,+",,,,,"52.3"," ,E,0425, ","27.8","E,0814, ","-0.4","E,1213",,,,,,,,,,,,,,,,,,,"923.5"," ,E",,,"13.2","E","16.8","E","9.7","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2008","       169","E","       111","E","         7","E",,,,,"         0","E","         0","E","         0","E","        68","E","         0","E","1.3","E,0307,+",,,,,"37.3"," ,E,0409, ","30.4","E,0731, ",,,,,,,,,,,,,,,,,,,,,"1220.6"," ,E",,,"13.3","E","16.9","E","9.6","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2009","       170","E","       105","E","         4","E",,,,,"         0","E","         3","E","         0","E","        70","E","         0","E","-1.1","E,1220, ",,,,,"33.0"," ,E,1107, ","27.2","E,0831, ","0.0","E,1216",,,,,,,,,"-0.7","E,0109",,,,,,,,,"1004.8"," ,E",,,"13.2","E","16.7","E","9.6","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2010","       168","E","       101","E","        12","E",,,,,"         0","E","         4","E","         0","E","        69","E","         0","E","-1.7","E,0110, ",,,,,"95.9"," ,E,0609, ","26.9","E,0825, ","-0.2","E,1129",,,,,,,,,"-0.4","E,0111",,,,,,,,,"1340.7"," ,E",,,"12.8","E","16.1","E","9.5","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2011","       147","E","        84","E","         6","E",,,,,"         0","E","         0","E","         0","E","        63","E","         0","E","1.3","E,0125, ",,,,,"50.5"," ,E,0128, ","29.4","E,1002, ",,,,,,,,,,,,,,,,,,,,,"950.9"," ,E",,,"13.8","E","17.1","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2012","       161","E","        95","E","         6","E",,,,,"         0","E","         2","E","         0","E","        84","E","         1","E","-0.3","E,0204, ",,,,,"35.6"," ,E,0418, ","33.0","E,0627, ",,,,,,,,,,,"-0.2","E,0212",,,,,,,,,"928.8"," ,E",,,"13.3","E","16.8","E","9.8","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2013","       194","E","       118","E","        10","E",,,,,"         0","E","         0","E","         0","E","       101","E","         0","E","1.5","E,0313, ",,,,,"53.2"," ,E,0118, ","30.4","E,0923, ",,,,,,,,,,,,,,,,,,,,,"1367.0"," ,E",,,"13.8","E","17.3","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2014","       157","E","        94","E","         6","E",,,,,"         0","E","         1","E","         0","E","       116","E","         0","E","-0.2","E,1230, ",,,,,"37.7"," ,E,0922, ","29.1","E,1031, ","-0.2","E,1230",,,,,,,,,,,,,,,,,,,"1122.1"," ,E",,,"14.6","E","18.2","E","11.0","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2015","       156","E","        95","E","         6","E",,,,,"         0","E","         0","E","         0","E","       112","E","         0","E","0.9","E,0306, ",,,,,"33.3"," ,E,0202, ","30.4","E,0827, ",,,,,,,,,,,,,,,,,,,,,"957.7"," ,E",,,"14.4","E","18.3","E","10.6","E",,
